id;date;hashtags;user_verified;is_retweet;Is_old_User;user_important
272;2021-02-10;['BTC'];0;0;1;0
273;2021-02-10;['Bitcoin', 'FX', 'BTC', 'crypto'];0;0;1;0
274;2021-02-10;['Thursday', 'Btc', 'wallet', 'security'];0;0;1;1
275;2021-02-10;['bitcoin'];0;0;1;1
276;2021-02-10;['crypto', 'btc', 'Bitcoin'];0;0;1;0
277;2021-02-10;['BTC', 'Bitcoin'];0;0;0;0
278;2021-02-10;['Bitcoin', 'digital', 'asset', 'fund', 'BTC'];0;0;1;1
279;2021-02-10;['Bitcoin', 'crypto', 'BTC'];0;0;1;0
280;2021-02-10;['bitcoin', 'digitalcurrencyexchange'];0;0;1;0
281;2021-02-10;['Bitcoin'];0;0;1;0
282;2021-02-10;['BTC', 'BCH', 'ETH'];0;0;1;0
283;2021-02-10;['btc', 'bitcoin'];0;0;0;0
284;2021-02-10;['BNB', 'crypto', 'bitcoin', 'Ethereum', 'xrp', 'aave', 'altcoin', 'bullrun', 'Chainlink'];0;0;1;0
285;2021-02-10;['Bitcoin', 'BTC'];0;0;1;0
286;2021-02-10;['Crypto', 'Bitcoin', 'BTC', 'Ethereum', 'ETH', 'Tether', 'USDT'];0;0;1;1
287;2021-02-10;['Bitcoin', 'BTC'];0;0;0;0
288;2021-02-10;['Bitcoin'];0;0;1;0
289;2021-02-10;['BTC', 'bitcoin', 'tesla', 'mastercard'];0;0;1;0
290;2021-02-10;['forex', 'forexsignals', 'trading', 'forextrader', 'forextrade'];0;0;0;0
291;2021-02-10;['CGash', 'Telcoin', 'Kucoin'];0;0;1;0
292;2021-02-10;['bitcoin', 'Tesla'];0;0;1;0
293;2021-02-10;['BTC', 'ETH', 'ADA', 'XRP', 'DOT', 'BNB', 'LTC', 'LINK', 'DOGE', 'BCH'];0;0;1;1
294;2021-02-10;['Mailey', 'Bitcoin', 'BTC'];0;0;0;0
295;2021-02-10;['BTC', 'Bitcoin'];0;0;0;0
296;2021-02-10;['bitcoin', 'BTC'];0;0;1;0
297;2021-02-10;['CyberSecurity', 'Blockchain', 'Crypto'];0;0;1;1
298;2021-02-10;['BTC', 'Bitcoin', 'Ethereum', 'ETH', 'Crypto', 'cryptotrading'];0;0;0;0
299;2021-02-10;['XRP', 'Bitcoin', 'Ethereum', 'BTC'];0;0;0;0
300;2021-02-10;['Bitcoin', 'BitcoinCash', 'Litecoin', 'Ethereum', 'dogecoin'];0;0;1;0
301;2021-02-10;['Bitcoin', 'BTC', 'dogecoin'];0;0;1;0
302;2021-02-10;['bitcoin', 'Btc'];0;0;0;0
303;2021-02-10;['help', 'bitcoin', 'BTC', 'Support'];0;0;1;0
304;2021-02-10;['AmazonCoin', 'amazon', 'pay'];0;0;1;0
